email_address,label,email_text
user1@example.com,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
user2@example.com,ham,Ok lar... Joking wif u oni...
user3@example.com,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
user4@example.com,ham,U dun say so early hor... U c already then say...
user5@example.com,ham,"Nah I don't think he goes to usf, he lives around here though"
user6@example.com,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
user7@example.com,ham,Even my brother is not like to speak with me. They treat me like aids patent.
user8@example.com,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
user9@example.com,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
user10@example.com,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
user11@example.com,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
user12@example.com,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
user13@example.com,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
user14@example.com,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
user15@example.com,ham,I HAVE A DATE ON SUNDAY WITH WILL!!
user16@example.com,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
user17@example.com,ham,Oh k...i'm watching here:)
user18@example.com,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
user19@example.com,ham,Fine if thats the way u feel. Thats the way its gota b
user20@example.com,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
user21@example.com,ham,Is that seriously how you spell his name?
user22@example.com,ham,I‘m going to try for 2 months ha ha only joking
user23@example.com,ham,So ü pay first lar... Then when is da stock comin...
user24@example.com,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
user25@example.com,ham,Ffffffffff. Alright no way I can meet up with you sooner?
user26@example.com,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
user27@example.com,ham,Lol your always so convincing.
user28@example.com,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
user29@example.com,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
user30@example.com,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
user31@example.com,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
user32@example.com,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?
user33@example.com,ham,K tell me anything about you.
user34@example.com,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
user35@example.com,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
user36@example.com,ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
user37@example.com,ham,"Oops, I'll let you know when my roommate's done"
user38@example.com,ham,I see the letter B on my car
user39@example.com,ham,Anything lor... U decide...
user40@example.com,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
user41@example.com,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
user42@example.com,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
user43@example.com,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
user44@example.com,ham,WHO ARE YOU SEEING?
user45@example.com,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
user46@example.com,ham,No calls..messages..missed calls
user47@example.com,ham,Didn't you get hep b immunisation in nigeria.
user48@example.com,ham,"Fair enough, anything going on?"
user49@example.com,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
user50@example.com,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
user51@example.com,ham,What you thinked about me. First time you saw me in class.
user52@example.com,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
user53@example.com,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
